id,name,ingredients,allergensraw,link,allergensmapped
1,perly,"milk cream, cream, sugar, banana, bacteria","banana, milk",https://world.openfoodfacts.org/product/6111242100992,milk
2,Lait,fresh pasteurised semiskimmed milk with gl of fat,milk,https://world.openfoodfacts.org/product/6111266962187,milk
3,Jben,"whole fresh milk, cream, stabilizers, starch, carrageenan, salt, lactic ferments fat ",milk,https://world.openfoodfacts.org/product/6111242106949,milk
4,Gerostete Mandel Ohne Zucker,"water, almond , sugar, calcium tri  calcium phosphate, sea salt, stabilisers locust bean gum, gellan gum, emulsifier lecithins, natural flavouring, vitamins b, b, e, d,",nuts,https://world.openfoodfacts.org/product/5411188112709,"peanut, tree nut"
5,Oat Drink Barista Edition,"water, oats , rapeseed oil, acidity regulator dipotassium phosphate, minerals calcium carbonate, potassium iodide, salt, vitamins d, riboflavin and b,",gluten,https://world.openfoodfacts.org/product/7394376616228,wheat
6,Alpro Haverdrink zonder suikers,"water, oat , sunflower oil, soluble corn fibre, calcium calcium carbonate, sea salt, stabiliser gellan gum, potassium iodide, vitamins b, d",gluten,https://world.openfoodfacts.org/product/5411188124689,wheat
7,Jebli,"white cheese, water cream, milk proteins, salt, coagulants starch, agar, xatan gum, preservatives potassium sorbate, flavor, keep cool between  and   of the fatty substances,",milk,https://world.openfoodfacts.org/product/6111206000733,
8,Kefir Natural Fermented Yogurt,"organic milk, fermented with live kefir cultures",milk,https://world.openfoodfacts.org/product/5036589252450,
9,Philadelphia,"full fat soft cheese, salt, stabiliser guar gum, acid citric acid made with pasteurised milk",milk,https://world.openfoodfacts.org/product/7622201693916,
10,Alpro Plantaardig variatie vanille,"water, hulled soybeans , sugar, glucosefructose syrup, stabiliser pectin, acidity regulators citric acid, sodium citrate, tricalcium phosphate, carrot extract, sea salt, vitamins riboflavin b, b, d, flavouring, natural flavouring, vanilla powder , antioxidants tocopherol extract, ascorbyl palminate, yoghurt cultures s, thermophilus, l, bulgaricus",soybeans,https://world.openfoodfacts.org/product/5411188103387,
11,Almond Drink,"water, , almonds, maltodextrins, sea salt, stabilizers carob seed flour, gellanic gum, emulsifier sunflower lecithin, natural aroma, from organic farming","gluten, nuts",https://world.openfoodfacts.org/product/4056489346357,
12,5% Greek Yogurt,"pasteurised skimmed milk, cream milk, live active yoghurt cultures l bulgaricus, s thermophilus, l acidophilus, bifidus, l casei no palm oil",milk,https://world.openfoodfacts.org/product/5201054017432,
13,Kinder Bueno,"milk chocolate  sugar, cocoa butter, cocoa mass, skimmed milk powder, concentrated potter, emulsifier lecithins soya, vanillin, sugar, palm oil, wheat flour, hazelnuts , skimmed milk powder, milk powder, chocolate sugar, cocoa mass, cocoa butter, emulsifier lecithins soya, vanillin, fatreduced cocoa, emulsifier lecithins soya, raising agent sodium bicarbonate, salt, vanillin","gluten, milk, nuts, soybeans",https://world.openfoodfacts.org/product/80052760,
14,Yogurt Greek Style,"cream, skimmed milk retentate, microbial cultures,",milk,https://world.openfoodfacts.org/product/20047559,
15,Snickers,"milk chocolate sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin, peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor","eggs, milk, peanuts, soybeans",https://world.openfoodfacts.org/product/5000159461122,
16,Lait DAmande,"almond milk water, almonds , rice starch, natural almond flavour, sea salt, stabilisers guar gum, xanthan gum",nuts,https://world.openfoodfacts.org/product/3229820787015,
17,kefir drink original,"pasteurised cows milk fermented with live kefir cultures bifidobacterium, lactobacillus acidophilus, lactobacillus plantarum, lactobacillus casei, lactobacillus rhamnosus",milk,https://world.openfoodfacts.org/product/5060337220415,
18,Fage Total 0% Yogurt,"pasteurised skimmed milk, cultures l bulgaricus, s thermophilus, lacidophilus, bifidus, l casei",milk,https://world.openfoodfacts.org/product/5201054017418,
19,Organic Natural Yoghurt,"organic milk, bifidobacterium live culture",milk,https://world.openfoodfacts.org/product/5036589255598,
20,Dark milk chocolate,"dried whole milk, cocoa mass, cocoa butter, sugar",milk,https://world.openfoodfacts.org/product/5059697710001,
21,Sliced Brioche,"wheat flour , whole eggs , brown cane sugar, sunflower oil, sourdough water, wheat  and rye flours, yeasts, wheat gluten, natural vanilla flavouring contains alcohol, salt, yeast, vanilla extract, deactivated yeast possible traces of milk, mustard and soya ingredients from organic farming ingredients from french fair trade","eggs, gluten",https://world.openfoodfacts.org/product/3284230006408,
22,Seriously Good Times Mayonnaise,"rapeseed oil , water, pasteurized egg yolk , spirit vinegar, sugar, starch, salt, mustard seeds, spices, antioxidant calcium disodium edta","eggs, mustard",https://world.openfoodfacts.org/product/5000157076410,
23,Real Mayonnaise,"rapeseed oil , free range pasteurised whole egg , water, extra virgin olive oil , unrefined raw cane sugar, acid acetic acid, sea salt, mustard","eggs, mustard",https://world.openfoodfacts.org/product/5060092690331,
24,Petites Madeleines,"wheat flour , rapeseed oil, nonhydrogenated, sugar, eggs from hens raised outdoors , stabilizer glycerol, glucosefructose syrup, fresh milk semiskimmed pasteurized , baking powders diphosphates and carbonates of sodium wheat, salt, flavour, contains soy, traces of any nuts,","eggs, gluten, milk",https://world.openfoodfacts.org/product/3178530410105,
25,Butter cookie,"wheat flour, sugar, butter , eggs, natural flavour, salt, baking powders ammonium and sodium carbonates, citric acid, skimmed milk powder","eggs, gluten, milk",https://world.openfoodfacts.org/product/3023470001015,
26,Lasagne alluovo,"durum wheat semolina, fresh eggs of category a ,","eggs, gluten",https://world.openfoodfacts.org/product/8076800376999,
27,Medium Egg Noodles imp,"wheat flour, pasteurised egg , salt, acidity regulator potassium carbonate allergy advice for allergens, including cereals containing gluten, see ingredients in bold may also contain milk, sesame and soya","eggs, gluten",https://world.openfoodfacts.org/product/5000354924712,
28,Medium Egg Noodles,"soft wheat flour, durum wheat flour,  free range egg, salt, acidity regulator potassium carbonates","eggs, gluten",https://world.openfoodfacts.org/product/4056489365310,
29,Spinach Ricotta Tortelloni,"fresh egg pasta wheat flour, pasteurised egg, durum wheat semolina, water, ricotta cheese  cows milk, spinach , breadcrumbs wheat flour, water, salt, yeast, full fat hard cheese cows milk, whey powder cows milk, vegetable oil sunflower, rapeseed, fully refined soybean, salt, pea fibre, corn fibre, potato fibre, flavourings, garlic powder, nutmeg","eggs, gluten, milk",https://world.openfoodfacts.org/product/00336789,"egg, milk, wheat"
30,Avocado Lemon Mayo,"rapeseed oil , avocado oil , water, free range egg yolk  egg yolk, salt, cider vinegar, dijon mustard water, mustard flour, spirit vinegar, salt, concentrated lemon juice ","eggs, mustard",https://world.openfoodfacts.org/product/5060446800409,egg
31,Medium Egg Noodles,"wheat flour, durum wheat flour, pasteurised free range egg , salt, acidity regulator potassium carbonates","eggs, gluten",https://world.openfoodfacts.org/product/4088600401096,"egg, wheat"
32,BenJerrys Chocolate Fudge Brownie 465ml,"cream milk  waler sugar, condense chocolate ice cream with broware pieces  wee wk, cocoa powder , flours wheat, malted barle yok egg, died egg white, stabilisers guar gum, carrageenan, salt reduced cocoa powder , fully refined soybean oil, free range b veilla extrad, raining agent sodium bicarbonate sugar, cocoa, vani mass","eggs, gluten, milk, soybeans",https://world.openfoodfacts.org/product/8711327370708,"egg, milk, soy, wheat"
33,All Natural Avocado Oil Mayo,"avocado oil , free range egg yolk, water, apple vinegar, concentrated lemon juice, salt, mustard flour, white pepper, white vinegar","eggs, mustard",https://world.openfoodfacts.org/product/0787099923204,egg
